# id	название	описание — русский перевод CWE (MITRE cwec_v4.14)
240	Некорректная обработка несогласованных структурных элементов	Продукт не обрабатывает или неправильно обрабатывает случай, когда два или более структурных элемента должны быть согласованы, но не согласованы.
241	Некорректная обработка неожиданного типа данных	Продукт не обрабатывает или неправильно обрабатывает элемент неожиданного типа, например ожидается цифра (0–9), а приходит буква (A–Z).
242	Использование заведомо опасной функции	Продукт вызывает функцию, безопасная работа которой не может быть гарантирована никогда.
243	Создание chroot-окружения без смены рабочего каталога	Продукт создаёт изолированное окружение системным вызовом chroot(), но не меняет после этого рабочий каталог. Это не предотвращает доступ к файлам вне окружения.
244	Некорректная очистка памяти кучи перед освобождением («Heap Inspection»)	Изменение размера буферов с чувствительными данными через realloc() может оставить эти данные в памяти открытыми для атаки, так как они не удаляются.
245	Плохие практики J2EE: прямое управление соединениями	Приложение J2EE управляет соединениями напрямую, а не через средства контейнера.
246	Плохие практики J2EE: прямое использование сокетов	Приложение J2EE использует сокеты напрямую, а не через методы фреймворка.
248	Неперехваченное исключение	Функция выбрасывает исключение, но его никто не перехватывает.
250	Выполнение с избыточными привилегиями	Продукт выполняет операцию с уровнем привилегий выше минимально необходимого, что создаёт новые слабости или усиливает последствия других.
252	Непроверенное возвращаемое значение	Продукт не проверяет значение, возвращаемое методом или функцией, и может не заметить неожиданные состояния.
253	Неверная проверка возвращаемого значения функции	Продукт неправильно проверяет значение, возвращаемое функцией, и не обнаруживает ошибки или исключительные ситуации.
256	Хранение пароля в открытом виде	Хранение пароля открытым текстом может привести к компрометации системы.
257	Хранение паролей в восстанавливаемом формате	Пароли в восстанавливаемом формате подвержены повторному использованию злоумышленниками. Восстанавливаемые зашифрованные пароли почти не лучше открытых: ими могут воспользоваться как внешние атакующие, так и недобросовестные инсайдеры. Если администратор может напрямую восстановить пароль или подобрать его перебором по доступным данным, он может использовать его в других учётных записях.
258	Пустой пароль в конфигурационном файле	Использование пустой строки в качестве пароля небезопасно.
259	Использование жёстко заданного пароля	Продукт содержит жёстко заданный пароль, который использует для собственной входящей аутентификации или для исходящего взаимодействия с внешними компонентами.
260	Пароль в конфигурационном файле	Продукт хранит пароль в конфигурационном файле, который может быть доступен субъектам, не знающим пароль.
261	Слабое кодирование пароля	Скрытие пароля тривиальным кодированием его не защищает.
262	Отсутствие устаревания паролей	В продукте нет механизма управления сроком действия паролей.
263	Слишком долгий срок действия паролей	Продукт поддерживает устаревание паролей, но срок действия слишком велик.
266	Неверное назначение привилегий	Продукт неверно назначает привилегию субъекту, создавая для него непредусмотренную зону контроля.
267	Привилегия, допускающая небезопасные действия	Определённая привилегия, роль, возможность или право позволяет выполнять непредусмотренные небезопасные действия, даже если назначены правильной сущности.
268	Цепочка привилегий	Две разные привилегии, роли, возможности или права можно объединить так, что сущность получит возможность выполнять небезопасные действия, недоступные без этой комбинации.
269	Некорректное управление привилегиями	Продукт неправильно назначает, изменяет, отслеживает или проверяет привилегии субъекта, создавая для него непредусмотренную зону контроля.
270	Ошибка переключения контекста привилегий	Продукт неправильно управляет привилегиями при переключении между контекстами с разными привилегиями или зонами контроля.
271	Ошибки сброса или понижения привилегий	Продукт не сбрасывает привилегии перед передачей управления ресурсом субъекту, у которого этих привилегий нет.
272	Нарушение принципа минимальных привилегий	Повышенные привилегии, нужные для операций вроде chroot(), должны сбрасываться сразу после выполнения операции.
273	Некорректная проверка сброса привилегий	Продукт пытается сбросить привилегии, но не проверяет или неправильно проверяет, удалось ли это.
274	Некорректная обработка недостаточных привилегий	Продукт не обрабатывает или неправильно обрабатывает нехватку привилегий для выполнения операции, что порождает другие слабости.
276	Неверные права доступа по умолчанию	При установке права на установленные файлы выставляются так, что изменять их может кто угодно.
277	Небезопасные наследуемые права доступа	Продукт задаёт набор небезопасных прав доступа, которые наследуют создаваемые программой объекты.
278	Небезопасное сохранение унаследованных прав	Продукт наследует небезопасные права доступа для объекта, например при распаковке архива, без ведома и участия пользователя.
279	Неверные права, назначаемые во время выполнения	Во время работы продукт устанавливает права объекта так, что нарушаются права, заданные пользователем.
280	Некорректная обработка недостаточных прав или привилегий	Продукт не обрабатывает или неправильно обрабатывает нехватку прав для доступа к ресурсам или функциям. Это может увести выполнение по неожиданным путям и оставить продукт в некорректном состоянии.
281	Некорректное сохранение прав доступа	Продукт не сохраняет или неправильно сохраняет права при копировании, восстановлении или публикации объектов, из-за чего права становятся менее строгими, чем задумано.
282	Некорректное управление владением	Продукт назначает неверного владельца объекта или ресурса либо неправильно проверяет владение.
283	Непроверенное владение	Продукт не проверяет должным образом, что критический ресурс принадлежит правильной сущности.
284	Некорректный контроль доступа	Продукт не ограничивает или неправильно ограничивает доступ неавторизованного субъекта к ресурсу.
285	Некорректная авторизация	Продукт не выполняет или неправильно выполняет проверку авторизации, когда субъект пытается получить доступ к ресурсу или выполнить действие.
286	Некорректное управление пользователями	Продукт неправильно управляет пользователем в своём окружении.
287	Некорректная аутентификация	Когда субъект заявляет определённую личность, продукт не доказывает или недостаточно доказывает, что это заявление верно.
288	Обход аутентификации через альтернативный путь или канал	Продукт требует аутентификации, но в нём есть альтернативный путь или канал, где аутентификация не требуется.
289	Обход аутентификации через альтернативное имя	Продукт выполняет аутентификацию по имени ресурса или субъекта, но не проверяет все возможные имена этого ресурса или субъекта.
290	Обход аутентификации через подмену (spoofing)	Слабость вызвана неправильно реализованными схемами аутентификации, уязвимыми к атакам подмены.
291	Аутентификация по IP-адресу	Продукт использует IP-адрес для аутентификации.
293	Аутентификация по полю Referer	Поле Referer в HTTP-запросах легко подделать, поэтому оно не годится для проверки целостности сообщения.
294	Обход аутентификации через перехват и повтор (capture-replay)	Слабость существует, когда устройство продукта позволяет злоумышленнику перехватить сетевой трафик и обойти аутентификацию, повторно отправив его серверу с тем же эффектом, что и исходное сообщение (или с небольшими изменениями).
295	Некорректная проверка сертификата	Продукт не проверяет или неправильно проверяет сертификат.
296	Некорректное прохождение цепочки доверия сертификата	Продукт не проходит или неправильно проходит цепочку доверия сертификата до доверенного корневого, из-за чего ошибочно доверяет любому ресурсу, связанному с этим сертификатом.
297	Некорректная проверка сертификата при несовпадении хоста	Продукт взаимодействует с хостом, предоставляющим сертификат, но не убеждается, что сертификат действительно принадлежит этому хосту.
298	Некорректная проверка срока действия сертификата	Срок действия сертификата не проверяется или проверяется неправильно, поэтому доверие может получить сертификат, выведенный из оборота по возрасту.
299	Некорректная проверка отзыва сертификата	Продукт не проверяет или неправильно проверяет статус отзыва сертификата и может использовать скомпрометированный сертификат.
300	Канал, доступный не только конечным точкам	Продукт недостаточно проверяет личность участников на обоих концах канала связи или его целостность, так что к каналу может получить доступ или повлиять на него субъект, не являющийся конечной точкой.
301	Атака отражения в протоколе аутентификации	Простые протоколы аутентификации уязвимы к атакам отражения, если злоумышленник может использовать целевую машину, чтобы выдать себя за доверенного пользователя.
302	Обход аутентификации через «неизменяемые» данные	Схема или реализация аутентификации использует ключевые элементы данных, считающиеся неизменяемыми, но атакующий может ими управлять или изменять их.
303	Неверная реализация алгоритма аутентификации	Требования к продукту предписывают использовать проверенный алгоритм аутентификации, но его реализация некорректна.
304	Пропущен критический шаг аутентификации	Продукт реализует технику аутентификации, но пропускает шаг, что ослабляет её.
305	Обход аутентификации через первичную слабость	Алгоритм аутентификации надёжен, но реализованный механизм можно обойти из-за отдельной слабости, первичной по отношению к ошибке аутентификации.
306	Отсутствие аутентификации для критической функции	Продукт не выполняет аутентификацию для функций, требующих подтверждённой личности пользователя или потребляющих значительные ресурсы.
307	Некорректное ограничение числа попыток аутентификации	Продукт не принимает достаточных мер против множества неудачных попыток аутентификации за короткое время, что облегчает атаки перебором.
308	Однофакторная аутентификация	Однофакторная аутентификация создаёт лишний риск компрометации по сравнению с двухфакторной.
309	Пароль как основной способ аутентификации	Парольные системы как основной способ аутентификации имеют ряд недостатков, каждый из которых снижает эффективность механизма.
311	Отсутствие шифрования чувствительных данных	Продукт не шифрует чувствительную или критическую информацию перед хранением или передачей.
312	Хранение чувствительной информации открытым текстом	Продукт хранит чувствительную информацию открытым текстом в ресурсе, который может быть доступен другой зоне контроля.
313	Хранение открытым текстом в файле или на диске	Продукт хранит чувствительную информацию открытым текстом в файле или на диске.
314	Хранение открытым текстом в реестре	Продукт хранит чувствительную информацию открытым текстом в реестре.
315	Хранение чувствительной информации открытым текстом в cookie	Продукт хранит чувствительную информацию открытым текстом в cookie.
316	Хранение чувствительной информации открытым текстом в памяти	Продукт хранит чувствительную информацию открытым текстом в памяти.
317	Хранение чувствительной информации открытым текстом в GUI	Продукт хранит чувствительную информацию открытым текстом в графическом интерфейсе.
318	Хранение чувствительной информации открытым текстом в исполняемом файле	Продукт хранит чувствительную информацию открытым текстом в исполняемом файле.
319	Передача чувствительной информации открытым текстом	Продукт передаёт чувствительные или критичные для безопасности данные открытым текстом по каналу, который могут прослушать неавторизованные субъекты.
321	Жёстко заданный криптографический ключ	Жёстко заданный криптографический ключ значительно повышает вероятность восстановления зашифрованных данных.
322	Обмен ключами без аутентификации сторон	Продукт выполняет обмен ключами с субъектом, не проверяя его личность.
323	Повторное использование nonce или ключевой пары при шифровании	Nonce должен использоваться только один раз и только для текущего случая.
324	Использование ключа после истечения срока	Продукт использует криптографический ключ или пароль после истечения срока действия, что сильно снижает безопасность, увеличивая окно для атак подбора.
325	Пропущен криптографический шаг	Продукт не реализует обязательный шаг криптографического алгоритма, и шифрование получается слабее заявленного.
326	Недостаточная стойкость шифрования	Продукт хранит или передаёт чувствительные данные с помощью теоретически надёжной схемы шифрования, стойкость которой недостаточна для требуемого уровня защиты.
327	Сломанный или рискованный криптоалгоритм	Продукт использует взломанный или рискованный криптографический алгоритм или протокол.
328	Использование слабого хеша	Продукт использует алгоритм, чей хеш не отвечает требованиям безопасности: противник может восстановить исходные данные (атака на прообраз), найти другие данные с тем же хешем (второй прообраз) или найти несколько входов с одинаковым хешем (атака «дней рождения»).
329	Предсказуемый IV в режиме CBC	Продукт генерирует и использует предсказуемый вектор инициализации (IV) в режиме CBC, из-за чего данные, зашифрованные одним ключом, уязвимы к словарным атакам.
330	Недостаточно случайные значения	Продукт использует недостаточно случайные числа или значения там, где безопасность зависит от их непредсказуемости.
331	Недостаточная энтропия	Продукт использует алгоритм или схему с недостаточной энтропией, из-за чего некоторые значения или их группы встречаются чаще других.
332	Недостаточная энтропия в ГПСЧ	Нехватка энтропии, доступной генератору псевдослучайных чисел (ГПСЧ) или используемой им, угрожает стабильности и безопасности.
333	Некорректная обработка нехватки энтропии в ГИСЧ	Генераторы истинно случайных чисел (ГИСЧ) обычно имеют ограниченный источник энтропии и поэтому могут отказать или заблокироваться.
334	Малое пространство случайных значений	Количество возможных случайных значений меньше, чем нужно продукту, что облегчает атаки перебором.
335	Некорректное использование seed в ГПСЧ	Продукт использует генератор псевдослучайных чисел, но неправильно управляет начальными значениями (seed).
336	Одинаковый seed в ГПСЧ	Генератор псевдослучайных чисел использует одно и то же начальное значение при каждой инициализации продукта.
337	Предсказуемый seed в ГПСЧ	Генератор псевдослучайных чисел инициализируется предсказуемым значением, например ID процесса или системным временем.
338	Криптографически слабый ГПСЧ	Продукт использует генератор псевдослучайных чисел в контексте безопасности, но его алгоритм не является криптографически стойким.
339	Малое пространство seed в ГПСЧ	Генератор псевдослучайных чисел использует относительно малое пространство начальных значений, что облегчает атаки перебором.
340	Генерация предсказуемых чисел или идентификаторов	Продукт использует схему, генерирующую числа или идентификаторы более предсказуемые, чем требуется.
341	Предсказуемость по наблюдаемому состоянию	Число или объект можно предсказать по наблюдениям атакующего за состоянием системы или сети: времени, ID процесса и т. п.
342	Точное значение предсказуемо по предыдущим	Точное значение или случайное число можно предсказать, наблюдая предыдущие значения.
343	Диапазон значений предсказуем по предыдущим	Генератор случайных чисел выдаёт серию значений, по которой можно вывести довольно узкий диапазон следующего значения.
344	Инвариантное значение в динамически меняющемся контексте	Продукт использует постоянное значение, имя или ссылку, хотя оно может (или должно) различаться в разных окружениях.
345	Недостаточная проверка подлинности данных	Продукт недостаточно проверяет происхождение или подлинность данных и принимает недопустимые данные.
346	Ошибка проверки источника	Продукт не проверяет должным образом, что источник данных или обмена допустим.
347	Некорректная проверка криптографической подписи	Продукт не проверяет или неправильно проверяет криптографическую подпись данных.
348	Использование менее доверенного источника	У продукта есть два источника одних и тех же данных, но он использует тот, что хуже проверяется, менее доверен или менее устойчив к атакам.
349	Приём посторонних недоверенных данных вместе с доверенными	При обработке доверенных данных продукт принимает любые недоверенные данные, пришедшие вместе с ними, и обращается с ними как с доверенными.
350	Опора на обратное DNS-разрешение для критичного действия	Продукт выполняет обратное DNS-разрешение IP-адреса, чтобы получить имя хоста и принять решение безопасности, но не убеждается, что IP действительно связан с этим именем.
351	Недостаточное различение типов	Продукт не различает должным образом разные типы элементов, что ведёт к небезопасному поведению.
352	Межсайтовая подделка запроса (CSRF)	Веб-приложение не проверяет или не может проверить, был ли корректный запрос намеренно отправлен пользователем, от имени которого он пришёл.
353	Отсутствие проверки целостности	Продукт использует протокол передачи без механизма проверки целостности данных, например контрольной суммы.
354	Некорректная проверка значения целостности	Продукт не проверяет или неправильно проверяет значения целостности («контрольные суммы») сообщения и может не заметить изменение или повреждение данных при передаче.
356	Интерфейс не предупреждает о небезопасных действиях	Интерфейс продукта не предупреждает пользователя перед небезопасным действием от его имени. Это облегчает атакующему задачу заставить пользователя навредить собственной системе.
357	Недостаточно заметное предупреждение об опасных операциях	Интерфейс предупреждает пользователя об опасных или чувствительных операциях, но предупреждение недостаточно заметно.
358	Некорректно реализованная проверка безопасности стандарта	Продукт не реализует или неправильно реализует одну или несколько проверок безопасности, предусмотренных стандартизированным алгоритмом, протоколом или техникой.
359	Раскрытие персональных данных неавторизованному лицу	Продукт не предотвращает доступ к личной информации человека со стороны субъектов, которые (1) не имеют явного права на доступ или (2) не имеют подразумеваемого согласия этого человека.
360	Доверие к данным системных событий	Безопасность, основанная на источнике событий, ненадёжна: источник можно подделать.
362	Параллельное выполнение с общим ресурсом без должной синхронизации («Race Condition»)	В продукте есть фрагмент кода, выполняемый параллельно с другим кодом и требующий временного монопольного доступа к общему ресурсу, но существует временное окно, в котором ресурс может изменить другой параллельный код.
363	Состояние гонки, позволяющее подменить файл ссылкой	Продукт проверяет состояние файла или каталога перед доступом, и в образовавшемся окне файл можно заменить ссылкой, из-за чего продукт обратится к другому файлу.
364	Состояние гонки в обработчике сигналов	Продукт использует обработчик сигналов, порождающий состояние гонки.
366	Состояние гонки внутри потока	Если два потока выполнения одновременно используют ресурс, он может быть использован в некорректном состоянии, и состояние выполнения становится неопределённым.
367	Состояние гонки «время проверки — время использования» (TOCTOU)	Продукт проверяет состояние ресурса перед использованием, но между проверкой и использованием состояние может измениться так, что результат проверки становится недействительным. Продукт может выполнить некорректные действия с ресурсом в неожиданном состоянии.
368	Состояние гонки при переключении контекста	Продукт выполняет серию неатомарных действий для переключения между контекстами через границы привилегий или безопасности, а состояние гонки позволяет атакующему изменить или исказить поведение продукта во время переключения.
369	Деление на ноль	Продукт делит значение на ноль.
370	Отсутствие повторной проверки отзыва сертификата	Продукт не проверяет статус отзыва сертификата после первой проверки и может выполнять привилегированные действия, даже если сертификат позже отозван.
372	Неполное различение внутренних состояний	Продукт неправильно определяет своё состояние: считает, что находится в состоянии X, когда на самом деле в состоянии Y, и выполняет неверные с точки зрения безопасности операции.
374	Передача изменяемых объектов недоверенному методу	Продукт передаёт некопированные изменяемые данные в качестве аргумента методу или функции.
375	Возврат изменяемого объекта недоверенному вызывающему	Возврат некопированных изменяемых данных может привести к их изменению или удалению вызывающей функцией.
377	Небезопасный временный файл	Создание и использование небезопасных временных файлов делает данные приложения и системы уязвимыми.
378	Создание временного файла с небезопасными правами	Открытие временных файлов без надлежащих мер контроля делает сам файл, его содержимое и зависящие от него функции уязвимыми.
379	Создание временного файла в каталоге с небезопасными правами	Продукт создаёт временный файл в каталоге, права которого позволяют посторонним узнать о существовании файла или получить к нему доступ.
382	Плохие практики J2EE: использование System.exit()	Приложение J2EE вызывает System.exit(), что завершает и его контейнер.
383	Плохие практики J2EE: прямое использование потоков	Управление потоками в веб-приложении в ряде случаев запрещено и всегда чревато ошибками.
384	Фиксация сессии (Session Fixation)	Аутентификация пользователя или установка новой сессии без аннулирования существующего идентификатора сессии позволяет атакующему украсть аутентифицированную сессию.
385	Скрытый временной канал	Скрытые временные каналы передают информацию, модулируя какой-либо аспект поведения системы во времени, так что получатель может наблюдать поведение и выводить защищённую информацию.
386	Символическое имя указывает не на тот объект	Используется постоянная символическая ссылка на объект, хотя со временем она может указывать на другой объект.
390	Обнаружение ошибки без реакции	Продукт обнаруживает конкретную ошибку, но ничего не делает для её обработки.
391	Непроверенное состояние ошибки	[ПЛАНИРУЕТСЯ К УДАЛЕНИЮ. СМ. ПРИМЕЧАНИЯ И CWE-252, CWE-248, CWE-1069.] Игнорирование исключений и других ошибок позволяет атакующему незаметно вызвать неожиданное поведение.
392	Отсутствие сообщения об ошибке	Продукт сталкивается с ошибкой, но не возвращает код состояния или значение, указывающее на неё.
393	Возврат неверного кода состояния	Функция или операция возвращает неверное значение или код состояния, не указывающий на ошибку, и продукт меняет поведение на основе неверного результата.
394	Неожиданный код состояния или возвращаемое значение	Продукт не проверяет случай, когда функция возвращает допустимое для неё, но неожиданное для продукта значение.
395	Перехват NullPointerException вместо проверки на NULL	Перехват NullPointerException не должен заменять программные проверки, предотвращающие разыменование нулевого указателя.
396	Перехват слишком общего исключения	Перехват слишком общих исключений ведёт к сложному коду обработки ошибок, в котором чаще встречаются уязвимости.
397	Объявление throws для слишком общего исключения	Выброс слишком общих исключений ведёт к сложному коду обработки ошибок, в котором чаще встречаются уязвимости.
400	Неконтролируемое потребление ресурсов	Продукт неправильно контролирует выделение и удержание ограниченного ресурса, позволяя субъекту влиять на объём потребления и в итоге исчерпать доступные ресурсы.
401	Отсутствие освобождения памяти после использования	Продукт недостаточно отслеживает и освобождает выделенную память после использования, постепенно расходуя оставшуюся память.
402	Передача приватных ресурсов в новую зону («Resource Leak»)	Продукт делает доступными посторонним ресурсы, предназначенные только для него самого.
403	Раскрытие файлового дескриптора непредусмотренной зоне («File Descriptor Leak»)	Процесс не закрывает чувствительные файловые дескрипторы перед запуском дочернего процесса, и тот может выполнять через них неавторизованный ввод-вывод.
404	Некорректное закрытие или освобождение ресурса	Продукт не освобождает или неправильно освобождает ресурс перед его повторным использованием.
405	Асимметричное потребление ресурсов (усиление)	Продукт не контролирует ситуации, когда противник может заставить его потреблять или производить чрезмерные ресурсы, не затрачивая сопоставимых усилий и не подтверждая авторизацию, то есть влияние противника «асимметрично».
406	Недостаточный контроль объёма сетевых сообщений (сетевое усиление)	Продукт недостаточно отслеживает или ограничивает объём передаваемого трафика, и субъект может заставить его передать больше трафика, чем ему положено.
407	Неэффективная алгоритмическая сложность	Алгоритм в продукте имеет неэффективную сложность в худшем случае, что может ухудшить производительность системы; атакующий может специально подобрать данные для достижения худшего случая.
